TIME,OFFSET,T_SET120,T_SET115,T_SET110,T_SET105,T_SET100,T_SET95,T_SET90,T_SET86,T_SET75,T_SET70,T_SET65,T_SET60,T_SET55,T_SET50,T_SET45,T_SET40,T_SET35,ESPECTROSCOPIA,S_NORM
-0.051,0.016,,0.212,0.216,0.282,0.266,0.272,0.288,0.272,0.292,0.272,0.278,0.274,0.284,0.278,0.276,0.274,0.284,1.74,0.142
-0.05096,0.016,,0.214,0.214,0.282,0.266,0.274,0.286,0.27,0.292,0.274,0.28,0.276,0.282,0.28,0.278,0.274,0.282,1.78,0.142
-0.05092,0.018,,0.212,0.218,0.284,0.266,0.274,0.288,0.274,0.294,0.272,0.282,0.274,0.282,0.282,0.278,0.274,0.284,1.76,0.142
-0.05088,0.018,,0.212,0.216,0.282,0.268,0.274,0.288,0.272,0.292,0.272,0.278,0.274,0.282,0.28,0.278,0.274,0.282,1.78,0.144
-0.05084,0.016,,0.212,0.216,0.282,0.266,0.272,0.286,0.27,0.292,0.272,0.28,0.274,0.284,0.28,0.28,0.274,0.282,1.78,0.144
-0.0508,0.016,,0.212,0.214,0.282,0.264,0.272,0.286,0.272,0.292,0.274,0.282,0.274,0.284,0.28,0.276,0.274,0.284,1.76,0.142
-0.05076,0.016,,0.212,0.214,0.282,0.268,0.272,0.286,0.272,0.292,0.272,0.282,0.274,0.284,0.278,0.276,0.274,0.282,1.76,0.142
-0.05072,0.016,,0.214,0.216,0.282,0.268,0.272,0.288,0.272,0.292,0.272,0.28,0.272,0.284,0.278,0.278,0.274,0.282,1.76,0.144
-0.05068,0.016,,0.214,0.216,0.282,0.266,0.272,0.288,0.272,0.294,0.272,0.282,0.274,0.284,0.28,0.276,0.274,0.282,1.78,0.144
-0.05064,0.016,,0.214,0.216,0.284,0.266,0.272,0.286,0.272,0.292,0.272,0.28,0.272,0.282,0.282,0.278,0.274,0.282,1.78,0.142
-0.0506,0.018,,0.212,0.214,0.282,0.266,0.274,0.288,0.272,0.292,0.274,0.282,0.274,0.282,0.28,0.276,0.274,0.282,1.78,0.144
-0.05056,0.016,,0.214,0.218,0.282,0.266,0.272,0.288,0.27,0.292,0.274,0.28,0.274,0.282,0.28,0.278,0.274,0.284,1.78,0.144
-0.05052,0.018,,0.212,0.216,0.282,0.266,0.272,0.286,0.27,0.292,0.27,0.28,0.274,0.284,0.282,0.278,0.274,0.282,1.78,0.142
-0.05048,0.016,,0.212,0.216,0.282,0.264,0.274,0.286,0.272,0.292,0.272,0.28,0.274,0.284,0.28,0.276,0.274,0.284,1.78,0.144
-0.05044,0.016,,0.214,0.214,0.282,0.266,0.272,0.288,0.272,0.292,0.272,0.278,0.274,0.284,0.28,0.276,0.274,0.284,1.78,0.142
-0.0504,0.014,,0.212,0.214,0.282,0.266,0.272,0.288,0.27,0.29,0.274,0.282,0.274,0.282,0.278,0.276,0.274,0.282,1.76,0.144
-0.05036,0.018,,0.212,0.214,0.282,0.268,0.272,0.286,0.274,0.292,0.274,0.278,0.274,0.282,0.28,0.278,0.276,0.282,1.78,0.142
-0.05032,0.016,,0.214,0.214,0.282,0.264,0.272,0.288,0.272,0.292,0.274,0.28,0.272,0.284,0.28,0.276,0.272,0.286,1.76,0.142
-0.05028,0.016,,0.212,0.214,0.282,0.268,0.272,0.288,0.274,0.292,0.272,0.28,0.274,0.284,0.278,0.276,0.274,0.282,1.76,0.142
-0.05024,0.016,,0.212,0.216,0.282,0.266,0.272,0.286,0.272,0.292,0.272,0.28,0.274,0.284,0.28,0.278,0.274,0.282,1.78,0.144
-0.0502,0.018,,0.212,0.216,0.282,0.268,0.274,0.286,0.272,0.292,0.272,0.282,0.274,0.282,0.28,0.276,0.272,0.282,1.78,0.142
